protease_family	catalytic_type	hit_rows	unique_proteins
S08	Serine	96	96
S09	Serine	55	55
S33	Serine	32	32
C19	Cysteine	24	24
T01	Threonine	22	22
C14	Cysteine	18	18
M14	Metallo	16	16
M41	Metallo	14	14
C26	Cysteine	13	13
M01	Metallo	12	12
S01	Serine	12	12
I87	Unknown	11	11
M16	Metallo	11	11
M24	Metallo	11	11
M67	Metallo	11	11
M20	Metallo	10	10
C44	Cysteine	9	9
S54	Serine	9	9
M38	Metallo	8	8
C48	Cysteine	7	7
M28	Metallo	7	7
M03	Metallo	6	6
M17	Metallo	6	6
S26	Serine	6	6
M13	Metallo	5	5
S10	Serine	5	5
M36	Metallo	4	4
M76	Metallo	4	4
S12	Serine	4	4
A22	Aspartic	3	3
C12	Cysteine	3	3
C83	Cysteine	3	3
M18	Metallo	3	3
S49	Serine	3	3
A01	Aspartic	2	2
A28	Aspartic	2	2
C115	Cysteine	2	2
C13	Cysteine	2	2
C15	Cysteine	2	2
C85	Cysteine	2	2
C97	Cysteine	2	2
G05	Unknown	2	2
M02	Metallo	2	2
M100	Metallo	2	2
M12	Metallo	2	2
S16	Serine	2	2
T03	Threonine	2	2
C54	Cysteine	1	1
C56	Cysteine	1	1
I04	Unknown	1	1
I51	Unknown	1	1
M50	Metallo	1	1
M80	Metallo	1	1
N11	Unknown	1	1
S14	Serine	1	1
T02	Threonine	1	1
T05	Threonine	1	1
