protease_key	unique_proteins
IPR036852	107
IPR000209	98
IPR050131	84
IPR038765	76
IPR015500	59
IPR023827	57
IPR023828	54
IPR022398	49
IPR001394	44
IPR028889	42
IPR010259	35
IPR018200	32
IPR037045	28
SSF54897	24
IPR011600	24
IPR001375	24
IPR027268	22
IPR011249	21
IPR009003	16
IPR000555	16
IPR000834	16
PTHR11705	16
IPR050344	15
IPR007863	15
IPR045090	14
IPR045357	14
IPR014782	13
IPR010435	13
IPR043504	13
IPR001567	12
SSF50993	12
IPR050361	11
PTHR42776	11
PTHR43016	10
IPR000994	10
IPR001930	9
IPR011765	9
IPR007484	9
IPR023302	9
PTHR46366	8
IPR002470	8
IPR022764	7
PF13365	7
IPR051048	7
IPR008753	7
IPR051543	7
IPR001948	6
IPR003653	6
IPR019533	6
IPR021109	6
IPR001563	6
IPR000718	6
IPR042089	6
IPR050242	6
IPR000819	5
IPR019165	5
IPR036286	5
IPR045175	5
IPR046336	5
IPR011356	5
IPR052030	5
IPR033121	5
IPR027065	5
IPR001461	5
IPR003323	4
IPR000642	4
IPR000223	4
IPR001578	4
IPR001590	4
IPR003111	4
IPR002933	4
IPR011650	4
IPR037219	4
PTHR12606	4
IPR050928	4
IPR056290	4
SSF69322	4
IPR036959	4
IPR050278	4
IPR050130	4
IPR018497	4
PTHR13312	3
PR00830	3
IPR046792	3
IPR017861	3
IPR001842	3
IPR002471	3
IPR001714	3
G3DSA:3.30.479.30:FF:000004	3
PF13574	3
IPR050925	3
IPR006639	3
IPR005078	3
IPR046939	2
IPR048383	2
IPR042266	2
IPR041507	2
IPR039731	2
IPR022229	2
IPR029346	2
IPR023358	2
IPR050688	2
IPR048384	2
IPR003675	2
IPR002467	2
G3DSA:1.10.8.60:FF:000008	2
IPR000243	2
G3DSA:2.40.50.140:FF:000046	2
G3DSA:1.10.8.60:FF:000018	2
G3DSA:2.40.50.140:FF:000030	2
G3DSA:3.40.50.300:FF:000033	2
IPR002469	2
IPR001300	2
IPR001733	2
IPR002870	2
IPR001907	2
IPR002610	2
IPR036440	2
IPR036590	2
PF03568	2
PTHR39600	2
IPR052064	2
IPR051947	2
IPR052471	2
IPR037730	2
IPR046940	2
IPR047113	2
IPR042467	2
IPR039866	2
IPR019379	2
IPR019757	2
IPR023042	2
IPR021719	2
IPR023562	2
IPR032416	2
IPR016125	2
IPR003738	2
IPR009542	2
IPR008283	2
IPR007653	2
IPR008256	2
IPR007369	2
IPR008580	2
IPR019400	2
G3DSA:1.10.8.60:FF:000006	1
G3DSA:3.90.226.10:FF:000001	1
G3DSA:3.40.50.1820:FF:000003	1
G3DSA:2.40.50.140:FF:000168	1
G3DSA:3.40.50.300:FF:000034	1
G3DSA:3.30.830.10:FF:000009	1
IPR000246	1
IPR001969	1
IPR001940	1
IPR002410	1
IPR001131	1
IPR001193	1
IPR001096	1
IPR001108	1
IPR001548	1
G3DSA:1.20.5.5270:FF:000001	1
G3DSA:2.10.109.10:FF:000005	1
IPR007541	1
IPR008269	1
IPR005314	1
IPR009582	1
IPR015211	1
IPR017860	1
IPR033851	1
IPR024729	1
IPR019103	1
IPR019758	1
IPR011546	1
IPR038502	1
IPR040201	1
IPR038466	1
NF009205	1
NF001368	1
IPR055130	1
IPR054594	1
IPR052083	1
IPR050704	1
PTHR12947	1
PTHR12917	1
